amfi_code,scheme_name,fund_house,cagr_3yr_pct,sharpe_ratio,alpha,beta,max_drawdown_pct,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_maxdd,score,score_100,final_rank
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,31.77,0.8833,29.2636,0.0005,-18.19,1.36,36.0,37.0,38.0,26.0,25.0,34.05,100.0,1
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,35.1,0.7305,26.0767,-0.0663,-20.96,1.38,40.0,32.0,32.0,24.0,28.0,32.8,95.2,2
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,32.43,0.8083,27.1954,0.0051,-16.22,1.38,37.0,34.0,35.0,24.0,20.0,32.2,92.9,3
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,33.99,1.0682,26.9838,0.0237,-11.27,1.46,39.0,40.0,34.0,18.0,8.0,32.0,92.1,4
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,29.58,0.9656,27.3305,-0.0228,-12.97,1.45,34.0,39.0,36.0,19.0,13.0,31.3,89.4,5
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,26.66,0.7117,30.337,-0.0232,-28.71,1.43,29.0,28.0,40.0,20.0,36.0,30.3,85.5,6
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,26.99,0.7144,30.0579,0.0115,-31.17,1.52,31.0,29.0,39.0,14.5,37.0,30.224999999999998,85.2,7
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,32.48,0.7147,21.1948,0.0162,-12.59,0.8,38.0,30.0,28.0,29.0,12.0,30.05,84.5,8
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,29.17,0.919,28.2704,0.0181,-16.4,1.6,33.0,38.0,37.0,4.5,21.0,29.575,82.7,9
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,30.45,0.861,23.201,-0.0318,-15.01,1.54,35.0,36.0,31.0,10.5,17.0,28.974999999999998,80.4,10
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,22.65,0.7589,21.8294,-0.0084,-17.41,1.51,27.0,33.0,30.0,16.5,23.0,27.125000000000004,73.2,11
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,26.86,0.8329,26.5986,-0.0025,-17.25,1.61,30.0,35.0,33.0,3.0,22.0,27.0,72.8,12
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,28.96,0.7174,21.3998,0.0211,-11.29,1.6,32.0,31.0,29.0,4.5,9.0,24.725,64.0,13
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,21.08,0.3888,15.6438,-0.0366,-18.63,0.72,26.0,20.0,19.0,35.5,26.0,24.525000000000002,63.2,14
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,16.26,0.6482,19.8686,-0.0262,-11.8,0.66,18.0,27.0,26.0,37.0,11.0,24.0,61.2,15
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,18.43,0.5063,17.7298,0.0488,-15.2,0.92,22.0,23.0,25.0,27.0,18.0,23.200000000000003,58.1,16
