amfi_code,scheme_name,var_95_pct,cvar_95_pct,worst_day_loss,best_day_gain
101207,ABSL Small Cap Fund - Regular - Growth,-2.3915,-3.0289,-5.1847,5.4851
119095,Axis Small Cap Fund - Regular - Growth,-2.3284,-2.969,-4.8367,4.311
119599,SBI Small Cap Fund - Direct Plan - Growth,-2.3155,-3.0163,-4.5429,5.332
118634,Nippon India Small Cap Fund - Regular - Growth,-2.281,-2.994,-5.8102,5.9304
149324,DSP Small Cap Fund - Regular - Growth,-2.152,-2.8573,-4.887,4.849
119598,SBI Small Cap Fund - Regular Plan - Growth,-2.1502,-2.8444,-4.518,6.4713
119094,Axis Midcap Fund - Regular - Growth,-1.6997,-2.2375,-4.0755,4.1591
120842,Kotak Emerging Equity Fund - Regular - Growth,-1.695,-2.1251,-4.0323,3.7734
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-1.6902,-2.185,-4.4238,4.1954
102886,UTI Mid Cap Fund - Regular - Growth,-1.6857,-2.1771,-3.6695,4.0745
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-1.6762,-2.1484,-4.5218,3.6193
120505,ICICI Pru Midcap Fund - Regular - Growth,-1.6224,-2.2363,-3.8418,4.0812
149323,DSP Midcap Fund - Regular - Growth,-1.5866,-2.0903,-3.0092,4.1995
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-1.5259,-1.9852,-3.1266,3.9176
102887,UTI Flexi Cap Fund - Regular - Growth,-1.3743,-1.7964,-3.1271,3.2386
120843,Kotak Flexicap Fund - Regular - Growth,-1.3327,-1.7114,-2.9748,3.3554
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.3313,-1.7384,-2.6127,3.1415
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-1.3005,-1.7792,-3.323,4.3812
149322,DSP Top 100 Equity Fund - Regular - Growth,-1.2955,-1.6995,-3.6676,2.9362
100016,HDFC Top 100 Fund - Regular Plan - Growth,-1.2884,-1.6768,-2.4744,3.2145
119092,Axis Bluechip Fund - Regular - Growth,-1.2693,-1.6166,-2.3383,3.3626
148567,Mirae Asset Large Cap Fund - Regular - Growth,-1.2607,-1.6343,-2.9451,3.0025
119093,Axis Bluechip Fund - Direct - Growth,-1.2588,-1.6332,-2.9496,3.0558
120504,ICICI Pru Bluechip Fund - Direct - Growth,-1.2531,-1.6226,-2.6317,3.1234
125497,HDFC Top 100 Fund - Direct Plan - Growth,-1.2502,-1.6964,-3.1505,2.8407
118632,Nippon India Large Cap Fund - Regular - Growth,-1.2333,-1.6328,-2.849,2.8218
101206,ABSL Frontline Equity Fund - Regular - Growth,-1.2173,-1.6075,-3.8121,3.3956
120503,ICICI Pru Bluechip Fund - Regular - Growth,-1.2133,-1.61,-2.59,2.7064
119552,SBI Bluechip Fund - Direct Plan - Growth,-1.2129,-1.6078,-2.5775,2.9091
118633,Nippon India Large Cap Fund - Direct - Growth,-1.2066,-1.5542,-2.5402,3.5913
119551,SBI Bluechip Fund - Regular Plan - Growth,-1.1827,-1.523,-2.768,3.5096
120841,Kotak Bluechip Fund - Regular - Growth,-1.1725,-1.5249,-2.3779,2.858
102885,UTI Nifty 50 Index Fund - Regular - Growth,-1.1047,-1.4381,-2.1104,2.5565
118635,Nippon India ETF Nifty 50 BeES,-1.1033,-1.4938,-2.5466,3.0547
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.3429,-0.4618,-0.769,0.8163
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.3344,-0.4541,-0.8883,0.7708
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.3338,-0.4581,-0.8188,0.8837
101208,ABSL Liquid Fund - Regular - Growth,-0.0218,-0.0371,-0.0766,0.1247
120844,Kotak Liquid Fund - Regular - Growth,-0.0204,-0.0362,-0.0704,0.1254
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.0196,-0.0325,-0.0666,0.1197
